sci_name,body mass
Syncerus caffer,700
Tragelaphus eurycerus,350
Panthera tigris,230
Cervus canadensis,300
Gorilla gorilla,140
Ursus arctos,350
Rangifer tarandus,200
Boselaphus tragocamelus,195
Panthera leo,190
Damaliscus pygargus,100
Crocuta crocuta,59
Pan troglodytes,55
Bison bison,792
Pongo pygmaeus,75
Panthera pardus,54
Orycteropus afer,60
Acinonyx jubatus,50
Macropus giganteus,62
Panthera onca,85
Oreamnos americanus,68
Macropus fuliginosus,56
Myrmecophaga tridactyla,50
Puma concolor,72
Vombatus ursinus,40
Canis lupus,36
Hystrix cristata,20
Papio cynocephalus,24
Lasiorhinus latifrons,26
Wallabia bicolor,17
Papio anubis,25
Hystrix africaeaustralis,18
Hystrix indica,34
Mandrillus sphinx,25
Colobus guereza,12
Dendrolagus inustus,11
Viverra tangalunga,4
Colobus angolensis,
Raphicerus campestris,
Cryptoprocta ferox,
Trachypithecus francoisi,
Mellivora capensis,13
Dendrolagus scottae,
Canis latrans,14
Hystrix brachyura,
Canis mesomelas,
Euphractus sexcinctus,
Alouatta palliata,
Dendrolagus dorianus,
Macaca arctoides,
Proteles cristata,
Caracal caracal,
Sarcophilus harrisii,
Dorcopsis luctuosa,
Erythrocebus patas,
Semnopithecus entellus,
Cerdocyon thous,
Macaca maura,
Macaca nemestrina,
Dorcopsis hageni,
Dorcopsis atrata,
Nasua narica,
Indri indri,
Spilocuscus rufoniger,
Taxidea taxus,
Petrogale penicillata,
Dendrolagus goodfellowi,
Hylobates muelleri,
Phascolarctos cinereus,
Petrogale persephone,
Cuniculus paca,
Ailurus fulgens,
Dorcopsis muelleri,
Choloepus hoffmanni,
Lagothrix lagothricha,
Onychogalea unguifera,
Chlorocebus aethiops,
Ateles paniscus,
Procyon lotor,
Macaca mulatta,
Choloepus didactylus,
Alouatta caraya,
Dendrolagus ursinus,
Thylogale brunii,
Dendrolagus spadix,
Ateles geoffroyi,
Macaca fascicularis,
Cercocebus agilis,
Manis pentadactyla,
Petrogale xanthopus,
Dasyprocta punctata,
Cercopithecus mitis,
Thylogale stigmatica,
Ichneumia albicauda,
Coendou prehensilis,
Dendrolagus lumholtzi,
Tamandua tetradactyla,
Paguma larvata,
Vulpes vulpes,8
Manis javanica,
Tamandua mexicana,
Dendrolagus matschiei,
Bradypus tridactylus,
Petrogale herberti,
Madoqua kirkii,
Felis silvestris,
Dasyprocta azarae,
Lagidium viscacia,
Cebus capucinus,
Urocyon cinereoargenteus,
Thylogale browni,
Thylogale thetis,
Macaca assamensis,
Atherurus africanus,
Petrogale lateralis,
Conepatus leuconotus,
Onychogalea fraenata,
Propithecus coquereli,
Tachyglossus aculeatus,
Erethizon dorsatum,
Dasypus novemcinctus,
Otocyon megalotis,
Petrogale godmani,
Phalanger gymnotis,
Hystrix sumatrae,
Petrogale mareeba,
Spilocuscus maculatus,
Paradoxurus hermaphroditus,
Lepus arcticus,
Lepus capensis,
Oryctolagus cuniculus,
Didelphis marsupialis,
Aepyprymnus rufescens,
Daubentonia madagascariensis,
Didelphis virginiana,
Petrogale assimilis,
Dasyprocta leporina,
Sapajus libidinosus,
Potos flavus,
Dasyurus maculatus,
Trichosurus caninus,
Dorcopsulus macleayi,
Petrogale brachyotis,
Lemur catta,
Petrogale inornata,
Mephitis mephitis,
Dendrolagus bennettianus,
Macaca leonina,
Eulemur macaco,
Lagorchestes conspicillatus,
Petropseudes dahli,
Eira barbara,
Atherurus macrourus,
Setonix brachyurus,
Procavia capensis,
Conepatus chinga,
Trichosurus vulpecula,
Phalanger sericeus,
Marmota sibirica,
Cricetomys gambianus,
Herpestes urva,
Macrotis lagotis,
Phalanger vestitus,
Eulemur mongoz,
Cebus albifrons,
Phalanger carmelitae,
Zaedyus pichiy,
Genetta tigrina,
Paracynictis selousi,
Dolichotis salinicola,
Trichys fasciculata,
Spilocuscus kraemeri,
Dorcopsulus vanheurni,
Eulemur albifrons,
Wyulda squamicaudata,
Pseudochirops coronatus,
Phalanger orientalis,
Phalanger mimicus,
Phalanger ornatus,
Phalanger intercastellanus,
Mydaus marchei,
Petrogale concinna,
Phalanger lullulae,
Eulemur fulvus,
Prolemur simus,
Ictonyx striatus,
Potorous tridactylus,
Bettongia gaimardi,
Avahi laniger,
Cebus olivaceus,
Phalanger rothschildi,
Bassaricyon alleni,
Echymipera clara,
Herpestes smithii,
